OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,LocalAqfrName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
USGS-AK,USGS Alaska Water Science Center,USGS-15880000,COLVILLE R NR NUIQSUT AK,Stream,,19060304,20670,sq mi,,,70.16522440000000,-150.9197605000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,10,feet,5,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15896000,KUPARUK R NR DEADHORSE AK,Stream,,19060401,3340,sq mi,,,70.28138539000000,-148.9627860000000,63360,10,seconds,Interpolated from MAP.,NAD83,0.00,feet,.01,feet,Level or other surveyed method.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15896700,PUTULIGAYUK R NR DEADHORSE AK,Stream,,19060401,184,sq mi,,,70.26722570000000,-148.6310988000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,0,feet,0.1,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15910000,SAGAVANIRKTOK R NR SAGWON AK,Stream,,19060402,2200,sq mi,,,69.08965290000000,-148.7622664000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,1000,feet,50,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15910200,HAPPY C AT HAPPY VALLEY CAMP NR SAGWON AK,Stream,,19060402,34.5,sq mi,,,69.14687600000000,-148.8333910000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,950,feet,50,feet,Unknown.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-15979970,"SADLEROCHIT SPRING NR KAKTOVIK, AK",Spring,,19060502,,,,,69.66138889000000,-144.4105556000000,,1,seconds,Differentially corrected Global Positioning System.,NAD83,,,,,,,US,02,185,Alaska unconsolidated-deposit aquifers,,Quaternary System,Unconfined single aquifer,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690150147430001,UD00501812AAAA1S,Spring,,19060402,,,,,69.03023120000000,-147.7194506000000,63360,10,seconds,Interpolated from MAP.,NAD83,1200.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690426145595701,UD00402523    1S,Spring,,19060501,,,,,69.07361139000000,-146.0019720000000,250000,1,minutes,Interpolated from MAP.,NAD83,1400.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690500149193001,UD00401219BC  1S,Spring,,19060401,,,,,69.08297280000000,-149.3278392000000,250000,1,minutes,Interpolated from MAP.,NAD83,1275.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690516154390600,UNNAMED LK W OF KAKVUIYAT BEND NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060302,,,,,69.08733828000000,-154.6546812000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690530154390600,UNNAMED LK NW OF KAKVUIYAT BEND NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060302,,,,,69.09122730000000,-154.6546819000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-690547141560401,UD00404215    1S,Spring,,19060503,,,,,69.09618700000000,-141.9371155000000,250000,1,minutes,Interpolated from MAP.,NAD83,1800.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691300145540001,UD00302605BB  1S,Spring,,19060501,,,,,69.21639570000000,-145.9028006000000,250000,1,minutes,Interpolated from MAP.,NAD83,1300.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691330152161800,NORTHEAST NAKATUK LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060303,,,,,69.22460370000000,-152.2746170000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691535147225001,UD00202019ABDA1S,Spring,,19060402,,,,,69.25941800000000,-147.3833514000000,63360,10,seconds,Interpolated from MAP.,NAD83,1300.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691600147202501,UD00202017DACB1S,Spring,,19060402,,,,,69.26636388000000,-147.3430735000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,1250.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691636153252400,UNNAMED LK AT HEAD OF MAYBE C NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060302,,,,,69.27625498000000,-153.4263327000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691740150115000,UNNAMED LK AT E KUPARUK RIG NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060401,,,,,69.29408029000000,-150.2001196000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691830150172000,KUPARUK R NR UMIAT AK,Stream,,19060401,,,,,69.30796947000000,-150.2917868000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691924152340600,PRINCE C NR UMIAT AK,Stream,,19060302,,,,,69.32293930000000,-152.5713109000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-691954156025500,KIGALIK R NR VABM 937 KIGAL NR ATKASUK AK,Stream,,19060204,,,,,69.33120227000000,-156.0516989000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692200148433000,SAGAVANIRKTOK R AT SAGWON AK,Stream,,19060402,,,,,69.36633398000000,-148.7278762000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692326152004200,COLVILLE R NR UMIAT AK,Stream,,19060303,,,,,69.39017320000000,-152.0146215000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692600151282400,CHANDLER R NR UMIAT AK,Stream,,19060303,,,,,69.43296179000000,-151.4762750000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692618154481800,IKPIKPUK R VALLEY OF THE WILLOWS NR UMIAT AK,Stream,,19060204,,,,,69.43790370000000,-154.8080750000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692730146094501,UA00102411    1S,Spring,,19060501,,,,,69.45807070000000,-146.1652914000000,250000,10,seconds,Interpolated from MAP.,NAD83,1400.00,feet,200,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692738146360001,UA00102212AA  1S,Spring,,19060403,,,,,69.46028200000000,-146.6028056000000,250000,1,minutes,Interpolated from MAP.,NAD83,1300.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692828156141600,TITALUK R NR VABM 625 GLENBAR NR ATKASUK AK,Stream,,19060204,,,,,69.47398090000000,-156.2408974000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692906151185400,ANAKTUVUK R NR UMIAT AK,Stream,,19060303,,,,,69.48463400000000,-151.3179425000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-692915156032500,UNNAMED LK NR TITALUK R NR ATKASUK AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.48704139000000,-156.0600626000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693044141113701,UA00204424    1S,Spring,,19060503,,,,,69.51204688000000,-141.1962664000000,63360,10,seconds,Interpolated from MAP.,NAD83,550.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693054141423400,KONGAKUT R NR KAKTOVIK AK,Stream,,19060503,,,,,69.51482560000000,-141.7121155000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693106143020001,UA00203721AADD1S,Spring,,19060503,,,,,69.51815290000000,-143.0360365000000,63360,5,seconds,Interpolated from MAP.,NAD83,1040.00,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693205142410500,EGAKSRAK R NR KAKTOVIK AK,Stream,,19060503,,,,,69.53454470000000,-142.6874191000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693236141493801,UA00204209    1S,Spring,,19060503,,,,,69.54316080000000,-141.8299000000000,250000,5,seconds,Interpolated from MAP.,NAD83,500.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693324145495700,HUE C AB HUE SHALE OUTCROP NR KAKTOVIK AK,Stream,,19060501,,,,,69.55641268000000,-145.8352883000000,63360,1,seconds,Interpolated from MAP.,NAD83,2100,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693331145495600,HUE C WITHIN HUE SHALE OUTCROP NR KAKTOVIK AK,Stream,,19060501,,,,,69.55835730000000,-145.8350106000000,63360,1,seconds,Interpolated from MAP.,NAD83,2200,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693404145481800,HUE C BL HUE SHALE OUTCROP NR KAKTOVIK AK,Stream,,19060501,,,,,69.56752560000000,-145.8077874000000,63360,1,seconds,Interpolated from MAP.,NAD83,1750,feet,25,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693435142183800,EKALUAKAT R NR KAKTOVIK AK,Stream,,19060503,,,,,69.57621760000000,-142.3132536000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693506153144200,SQUARE LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.58459970000000,-153.2480454000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693523142580300,AICHILIK R SITE 1 NR KAKTOVIK AK,Stream,,19060504,,,,,69.58954910000000,-142.9702107000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693527142180001,UA00304028CA  1S,Spring,,19060503,,,,,69.59066289000000,-142.3026990000000,250000,1,minutes,Interpolated from MAP.,NAD83,600.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693554152033600,W DOGBONE LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060304,,,,,69.59795600000000,-152.0629873000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693556141241000,TURNER R NR KAKTOVIK AK,Stream,,19060503,,,,,69.59871650000000,-141.4054422000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693600151100000,VABM BOWL LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060304,,,,,69.59964180000000,-151.1696213000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693606152014200,E DOGBONE LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060304,,,,,69.60129000000000,-152.0313198000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693610157245700,MEADE R AB SHANINGAROK C NR ATKASUK AK,Stream,,19060203,,,,,69.60229018000000,-157.4189984000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693654157412500,UNNAMED LK S OF SHANINGAROK C NR ATKASUK AK,"Lake, Reservoir, Impoundment",,19060203,,,,,69.61450570000000,-157.6934460000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693702143410600,JAGO R NR KAKTOVIK AK,Stream,,19060502,,,,,69.61703290000000,-143.6877252000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693737146013801,UA00302508    1S,Spring,,19060501,,,,,69.62669500000000,-146.0300210000000,250000,5,seconds,Interpolated from MAP.,NAD83,1100.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693906152570000,JUDY C NR UMIAT AK,Stream,,19060205,,,,,69.65127150000000,-152.9530430000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693913144225600,SADLEROCHIT R NR KAKTOVIK AK,Stream,,19060502,,,,,69.65339350000000,-144.3849804000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693923144233701,UA00403136 1S,Spring,,19060502,,,,,69.65617110000000,-144.3963697000000,250000,10,seconds,Interpolated from MAP.,NAD83,950.00,feet,100,feet,Interpolated from topographic map.,NGVD29,US,02,185,Alaska unconsolidated-deposit aquifers,,Quaternary System,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-693942153023600,UNNAMED LK NE OF SQUARE LK NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.66127010000000,-153.0463828000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694142145063301,UA00602817    1S,Spring,,19060502,,,,,69.69476860000000,-145.1119450000000,250000,10,seconds,Interpolated from MAP.,NAD83,350.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694147144121000,HULAHULA R SITE 2 NR KAKTOVIK AK,Stream,,19060502,,,,,69.69618470000000,-144.2055334000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694207143142300,OKEROKOVIK R SITE 1 NR KAKTOVIK AK,Stream,,19060502,,,,,69.70176940000000,-143.2424479000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694306143142500,OKEROKOVIK R SITE 2 NR KAKTOVIK AK,Stream,,19060502,,,,,69.71815909000000,-143.2430050000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694336141460701,UA00404203DDAA1S,Spring,,19060503,,,,,69.72649840000000,-141.7712850000000,63360,Unknown,Unknown,Interpolated from MAP.,NAD83,65.00,feet,13,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694536152540600,UNNAMED LK NR JUDY C NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.75960680000000,-152.9047253000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694539144091500,HULAHULA R SITE 1 NR KAKTOVIK AK,Stream,,19060502,,,,,69.76063708000000,-144.1569253000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694733144490000,MARSH C NR KAKTOVIK AK,Stream,,19060502,,,,,69.79228690000000,-144.8194480000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694818147443601,UA00501807BB  1S,Spring,,19060403,,,,,69.80472060000000,-147.7462503000000,250000,1,minutes,Interpolated from MAP.,NAD83,350.00,feet,50,feet,Interpolated from topographic map.,NGVD29,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694842155260000,UNNAMED LK NR OUMALIK LK NR ATKASUK AK,"Lake, Reservoir, Impoundment",,19060206,,,,,69.81123820000000,-155.4364888000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-694943148451300,SAGAVANIRKTOK R NR FRANKLIN BLUFFS CAMP AK,Stream,,19060402,,,,,69.82830530000000,-148.7565819000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695038146271000,CANNING R NR DEADHORSE AK,Stream,,19060501,,,,,69.84364510000000,-146.4556409000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695130155213000,OUMALIK R WNW OF VABM 278 TITA NR ATKASUK AK,Stream,,19060206,,,,,69.85790867000000,-155.3614942000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695136153370000,UNNAMED LK 5 MI N OF KEY C NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060205,,,,,69.85960000000000,-153.6197797000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695218154342400,UNNAMED LK NR IKPIKPUK R NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.87125600000000,-154.5764779000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695225145120000,KATAKTURUK R NR KAKTOVIK AK,Stream,,19060502,,,,,69.87339708000000,-145.2028048000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695230155253000,UNNAMED LK NR OUMALIK R NR ATKASUK AK,"Lake, Reservoir, Impoundment",,19060206,,,,,69.87457459000000,-155.4281670000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695354153215400,UNNAMED LK 7 MI N OF KEY C NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060205,,,,,69.89793720000000,-153.3681076000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695354154363000,UNNAMED C NR IKPIKPUK R NR UMIAT AK,Stream,,19060204,,,,,69.89792300000000,-154.6114825000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695845154002400,UNNAMED LK 5 MI E OF VABM 235 FACT NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.97876670000000,-154.0098102000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
USGS-AK,USGS Alaska Water Science Center,USGS-695912154040000,UNNAMED LK 4.5 MI E OF VABM 235 FACT NR UMIAT AK,"Lake, Reservoir, Impoundment",,19060204,,,,,69.98626630000000,-154.0698120000000,,Unknown,Unknown,Interpolated from MAP.,NAD83,,,,,,,US,02,185,,,,,,,,,,NWIS
