 Total Nb of available Diagnostics: ndiagt=   854
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
     1 |SDIAG1  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #1
     2 |SDIAG2  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #2
     3 |SDIAG3  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #3
     4 |SDIAG4  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #4
     5 |SDIAG5  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #5
     6 |SDIAG6  |  1 |       |SM      L1|user-defined    |User-Defined   Surface   Diagnostic  #6
     7 |SDIAG7  |  1 |       |SU      L1|user-defined    |User-Defined U.pt Surface Diagnostic #7
     8 |SDIAG8  |  1 |       |SV      L1|user-defined    |User-Defined V.pt Surface Diagnostic #8
     9 |SDIAG9  |  1 |    10 |UU      L1|user-defined    |User-Defined U.vector Surface Diag.  #9
    10 |SDIAG10 |  1 |     9 |VV      L1|user-defined    |User-Defined V.vector Surface Diag. #10
    11 |UDIAG1  | 65 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #1
    12 |UDIAG2  | 65 |       |SM      MR|user-defined    |User-Defined Model-Level Diagnostic  #2
    13 |UDIAG3  | 65 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #3
    14 |UDIAG4  | 65 |       |SMR     MR|user-defined    |User-Defined Model-Level Diagnostic  #4
    15 |UDIAG5  | 65 |       |SU      MR|user-defined    |User-Defined U.pt Model-Level Diag.  #5
    16 |UDIAG6  | 65 |       |SV      MR|user-defined    |User-Defined V.pt Model-Level Diag.  #6
    17 |UDIAG7  | 65 |    18 |UUR     MR|user-defined    |User-Defined U.vector Model-Lev Diag.#7
    18 |UDIAG8  | 65 |    17 |VVR     MR|user-defined    |User-Defined V.vector Model-Lev Diag.#8
    19 |UDIAG9  | 65 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic  #9
    20 |UDIAG10 | 65 |       |SM      ML|user-defined    |User-Defined Phys-Level  Diagnostic #10
    21 |SDIAGC  |  1 |    22 |SM  C   L1|user-defined    |User-Defined Counted Surface Diagnostic
    22 |SDIAGCC |  1 |       |SM      L1|count           |User-Defined Surface Diagnostic Counter
    23 |ETAN    |  1 |       |SM      M1|m               |Surface Height Anomaly
    24 |ETANSQ  |  1 |       |SM P    M1|m^2             |Square of Surface Height Anomaly
    25 |DETADT2 |  1 |       |SM      M1|m^2/s^2         |Square of Surface Height Anomaly Tendency
    26 |THETA   | 65 |       |SMR     MR|degC            |Potential Temperature
    27 |SALT    | 65 |       |SMR     MR|g/kg            |Salinity
    28 |RELHUM  | 65 |       |SMR     MR|percent         |Relative Humidity
    29 |SALTanom| 65 |       |SMR     MR|g/kg            |Salt anomaly (=SALT-35; g/kg)
    30 |UVEL    | 65 |    31 |UUR     MR|m/s             |Zonal Component of Velocity (m/s)
    31 |VVEL    | 65 |    30 |VVR     MR|m/s             |Meridional Component of Velocity (m/s)
    32 |WVEL    | 65 |       |WM      LR|m/s             |Vertical Component of Velocity (r_units/s)
    33 |THETASQ | 65 |       |SMRP    MR|degC^2          |Square of Potential Temperature
    34 |SALTSQ  | 65 |       |SMRP    MR|(g/kg)^2        |Square of Salinity
    35 |SALTSQan| 65 |       |SMRP    MR|(g/kg)^2        |Square of Salt anomaly (=(SALT-35)^2 (g^2/kg^2)
    36 |UVELSQ  | 65 |    37 |UURP    MR|m^2/s^2         |Square of Zonal Comp of Velocity (m^2/s^2)
    37 |VVELSQ  | 65 |    36 |VVRP    MR|m^2/s^2         |Square of Meridional Comp of Velocity (m^2/s^2)
    38 |WVELSQ  | 65 |       |WM P    LR|m^2/s^2         |Square of Vertical Comp of Velocity
    39 |UE_VEL_C| 65 |    40 |UMR     MR|m/s             |Eastward Velocity (m/s) (cell center)
    40 |VN_VEL_C| 65 |    39 |VMR     MR|m/s             |Northward Velocity (m/s) (cell center)
    41 |UV_VEL_C| 65 |    41 |UMR     MR|m^2/s^2         |Product of horizontal Comp of velocity (cell center)
    42 |UV_VEL_Z| 65 |    42 |UZR     MR|m^2/s^2         |Meridional Transport of Zonal Momentum (m^2/s^2)
    43 |WU_VEL  | 65 |       |WU      LR|m.m/s^2         |Vertical Transport of Zonal Momentum
    44 |WV_VEL  | 65 |       |WV      LR|m.m/s^2         |Vertical Transport of Meridional Momentum
    45 |UVELMASS| 65 |    46 |UUr     MR|m/s             |Zonal Mass-Weighted Comp of Velocity (m/s)
    46 |VVELMASS| 65 |    45 |VVr     MR|m/s             |Meridional Mass-Weighted Comp of Velocity (m/s)
    47 |WVELMASS| 65 |       |WM      LR|m/s             |Vertical Mass-Weighted Comp of Velocity
    48 |PhiVEL  | 65 |    45 |SMR P   MR|m^2/s           |Horizontal Velocity Potential (m^2/s)
    49 |PsiVEL  | 65 |    48 |SZ  P   MR|m.m^2/s         |Horizontal Velocity Stream-Function
    50 |UTHMASS | 65 |    51 |UUr     MR|degC.m/s        |Zonal Mass-Weight Transp of Pot Temp
    51 |VTHMASS | 65 |    50 |VVr     MR|degC.m/s        |Meridional Mass-Weight Transp of Pot Temp
    52 |WTHMASS | 65 |       |WM      LR|degC.m/s        |Vertical Mass-Weight Transp of Pot Temp (K.m/s)
    53 |USLTMASS| 65 |    54 |UUr     MR|g/kg.m/s        |Zonal Mass-Weight Transp of Salinity
    54 |VSLTMASS| 65 |    53 |VVr     MR|g/kg.m/s        |Meridional Mass-Weight Transp of Salinity
    55 |WSLTMASS| 65 |       |WM      LR|g/kg.m/s        |Vertical Mass-Weight Transp of Salinity
    56 |UVELTH  | 65 |    57 |UUR     MR|degC.m/s        |Zonal Transport of Pot Temp
    57 |VVELTH  | 65 |    56 |VVR     MR|degC.m/s        |Meridional Transport of Pot Temp
    58 |WVELTH  | 65 |       |WM      LR|degC.m/s        |Vertical Transport of Pot Temp
    59 |UVELSLT | 65 |    60 |UUR     MR|g/kg.m/s        |Zonal Transport of Salinity
    60 |VVELSLT | 65 |    59 |VVR     MR|g/kg.m/s        |Meridional Transport of Salinity
    61 |WVELSLT | 65 |       |WM      LR|g/kg.m/s        |Vertical Transport of Salinity
    62 |UVELPHI | 65 |    63 |UUr     MR|m^3/s^3         |Zonal Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    63 |VVELPHI | 65 |    62 |VVr     MR|m^3/s^3         |Merid. Mass-Weight Transp of Pressure Pot.(p/rho) Anomaly
    64 |RHOAnoma| 65 |       |SMR     MR|kg/m^3          |Density Anomaly (=Rho-rhoConst)
    65 |RHOANOSQ| 65 |       |SMRP    MR|kg^2/m^6        |Square of Density Anomaly (=(Rho-rhoConst)^2)
    66 |URHOMASS| 65 |    67 |UUr     MR|kg/m^2/s        |Zonal Transport of Density
    67 |VRHOMASS| 65 |    66 |VVr     MR|kg/m^2/s        |Meridional Transport of Density
    68 |WRHOMASS| 65 |       |WM      LR|kg/m^2/s        |Vertical Transport of Density
    69 |WdRHO_P | 65 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-P
    70 |WdRHOdP | 65 |       |WM      LR|kg/m^2/s        |Vertical velocity times delta^k(Rho)_at-const-T,S
    71 |PHIHYD  | 65 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly
    72 |PHIHYDSQ| 65 |       |SMRP    MR|m^4/s^4         |Square of Hyd. Pressure Pot.(p/rho) Anomaly
    73 |PHIBOT  |  1 |       |SM      M1|m^2/s^2         |Bottom Pressure Pot.(p/rho) Anomaly
    74 |PHIBOTSQ|  1 |       |SM P    M1|m^4/s^4         |Square of Bottom Pressure Pot.(p/rho) Anomaly
    75 |PHI_SURF|  1 |       |SM      M1|m^2/s^2         |Surface Dynamical Pressure Pot.(p/rho)
    76 |PHIHYDcR| 65 |       |SMR     MR|m^2/s^2         |Hydrostatic Pressure Pot.(p/rho) Anomaly @ const r
    77 |PHI_NH  | 65 |       |SMR     MR|m^2/s^2         |Non-Hydrostatic Pressure Pot.(p/rho)
    78 |MXLDEPTH|  1 |       |SM      M1|m               |Mixed-Layer Depth (>0)
    79 |DRHODR  | 65 |       |SM      LR|kg/m^4          |Stratification: d.Sigma/dr (kg/m3/r_unit)
    80 |CONVADJ | 65 |       |SMR     LR|fraction        |Convective Adjustment Index [0-1]
    81 |oceTAUX |  1 |    82 |UU      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
    82 |oceTAUY |  1 |    81 |VV      U1|N/m^2           |meridional surf. wind stress, >0 increases vVel
    83 |atmPload|  1 |       |SM      U1|Pa              |Atmospheric pressure loading anomaly (vs surf_pRef)
    84 |sIceLoad|  1 |       |SM      U1|kg/m^2          |sea-ice loading (in Mass of ice+snow / area unit)
    85 |oceFWflx|  1 |       |SM      U1|kg/m^2/s        |net surface Fresh-Water flux into the ocean (+=down), >0 decreases salinity
    86 |oceSflux|  1 |       |SM      U1|g/m^2/s         |net surface Salt flux into the ocean (+=down), >0 increases salinity
    87 |oceQnet |  1 |       |SM      U1|W/m^2           |net surface heat flux into the ocean (+=down), >0 increases theta
    88 |oceQsw  |  1 |       |SM      U1|W/m^2           |net Short-Wave radiation (+=down), >0 increases theta
    89 |oceFreez|  1 |       |SM      U1|W/m^2           |heating from freezing of sea-water (allowFreezing=T)
    90 |TRELAX  |  1 |       |SM      U1|W/m^2           |surface temperature relaxation, >0 increases theta
    91 |SRELAX  |  1 |       |SM      U1|g/m^2/s         |surface salinity relaxation, >0 increases salt
    92 |surForcT|  1 |       |SM      U1|W/m^2           |model surface forcing for Temperature, >0 increases theta
    93 |surForcS|  1 |       |SM      U1|g/m^2/s         |model surface forcing for Salinity, >0 increases salinity
    94 |TFLUX   |  1 |       |SM      U1|W/m^2           |total heat flux (match heat-content variations), >0 increases theta
    95 |SFLUX   |  1 |       |SM      U1|g/m^2/s         |total salt flux (match salt-content variations), >0 increases salt
    96 |RCENTER | 65 |       |SM      MR|m               |Cell-Center Height
    97 |RSURF   |  1 |       |SM      M1|m               |Surface Height
    98 |hFactorC| 65 |       |SMr     MR|1               |Center cell-thickness fraction [-]
    99 |hFactorW| 65 |   100 |SUr     MR|1               |Western-Edge cell-thickness fraction [-]
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   100 |hFactorS| 65 |    99 |SVr     MR|1               |Southern-Edge cell-thickness fraction [-]
   101 |TOTUTEND| 65 |   102 |UUR     MR|m/s/day         |Tendency of Zonal Component of Velocity
   102 |TOTVTEND| 65 |   101 |VVR     MR|m/s/day         |Tendency of Meridional Component of Velocity
   103 |TOTTTEND| 65 |       |SMR     MR|degC/day        |Tendency of Potential Temperature
   104 |TOTSTEND| 65 |       |SMR     MR|g/kg/day        |Tendency of Salinity
   105 |MoistCor| 65 |       |SM      MR|W/m^2           |Heating correction due to moist thermodynamics
   106 |gT_Forc | 65 |       |SMR     MR|degC/s          |Potential Temp. forcing tendency
   107 |gS_Forc | 65 |       |SMR     MR|g/kg/s          |Salinity forcing tendency
   108 |AB_gT   | 65 |       |SMR     MR|degC/s          |Potential Temp. tendency from Adams-Bashforth
   109 |AB_gS   | 65 |       |SMR     MR|g/kg/s          |Salinity tendency from Adams-Bashforth
   110 |gTinAB  | 65 |       |SMR     MR|degC/s          |Potential Temp. tendency going in Adams-Bashforth
   111 |gSinAB  | 65 |       |SMR     MR|g/kg/s          |Salinity tendency going in Adams-Bashforth
   112 |AB_gU   | 65 |   113 |UUR     MR|m/s^2           |U momentum tendency from Adams-Bashforth
   113 |AB_gV   | 65 |   112 |VVR     MR|m/s^2           |V momentum tendency from Adams-Bashforth
   114 |AB_gW   | 65 |       |WM      LR|m/s^2           |W momentum tendency from Adams-Bashforth
   115 |ADVr_TH | 65 |       |WM      LR|degC.m^3/s      |Vertical   Advective Flux of Pot.Temperature
   116 |ADVx_TH | 65 |   117 |UU      MR|degC.m^3/s      |Zonal      Advective Flux of Pot.Temperature
   117 |ADVy_TH | 65 |   116 |VV      MR|degC.m^3/s      |Meridional Advective Flux of Pot.Temperature
   118 |DFrE_TH | 65 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Explicit part)
   119 |DFxE_TH | 65 |   120 |UU      MR|degC.m^3/s      |Zonal      Diffusive Flux of Pot.Temperature
   120 |DFyE_TH | 65 |   119 |VV      MR|degC.m^3/s      |Meridional Diffusive Flux of Pot.Temperature
   121 |DFrI_TH | 65 |       |WM      LR|degC.m^3/s      |Vertical Diffusive Flux of Pot.Temperature (Implicit part)
   122 |ADVr_SLT| 65 |       |WM      LR|g/kg.m^3/s      |Vertical   Advective Flux of Salinity
   123 |ADVx_SLT| 65 |   124 |UU      MR|g/kg.m^3/s      |Zonal      Advective Flux of Salinity
   124 |ADVy_SLT| 65 |   123 |VV      MR|g/kg.m^3/s      |Meridional Advective Flux of Salinity
   125 |DFrE_SLT| 65 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Explicit part)
   126 |DFxE_SLT| 65 |   127 |UU      MR|g/kg.m^3/s      |Zonal      Diffusive Flux of Salinity
   127 |DFyE_SLT| 65 |   126 |VV      MR|g/kg.m^3/s      |Meridional Diffusive Flux of Salinity
   128 |DFrI_SLT| 65 |       |WM      LR|g/kg.m^3/s      |Vertical Diffusive Flux of Salinity    (Implicit part)
   129 |SALTFILL| 65 |       |SM      MR|g/kg.m^3/s      |Filling of Negative Values of Salinity
   130 |VISCAHZ | 65 |       |SZ      MR|m^2/s           |Harmonic Visc Coefficient (m2/s) (Zeta Pt)
   131 |VISCA4Z | 65 |       |SZ      MR|m^4/s           |Biharmonic Visc Coefficient (m4/s) (Zeta Pt)
   132 |VISCAHD | 65 |       |SM      MR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (Div Pt)
   133 |VISCA4D | 65 |       |SM      MR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (Div Pt)
   134 |VISCAHW | 65 |       |WM      LR|m^2/s           |Harmonic Viscosity Coefficient (m2/s) (W Pt)
   135 |VISCA4W | 65 |       |WM      LR|m^4/s           |Biharmonic Viscosity Coefficient (m4/s) (W Pt)
   136 |VAHZMAX | 65 |       |SZ      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Zeta Pt)
   137 |VA4ZMAX | 65 |       |SZ      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Zeta Pt)
   138 |VAHDMAX | 65 |       |SM      MR|m^2/s           |CFL-MAX Harm Visc Coefficient (m2/s) (Div Pt)
   139 |VA4DMAX | 65 |       |SM      MR|m^4/s           |CFL-MAX Biharm Visc Coefficient (m4/s) (Div Pt)
   140 |VAHZMIN | 65 |       |SZ      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Zeta Pt)
   141 |VA4ZMIN | 65 |       |SZ      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Zeta Pt)
   142 |VAHDMIN | 65 |       |SM      MR|m^2/s           |RE-MIN Harm Visc Coefficient (m2/s) (Div Pt)
   143 |VA4DMIN | 65 |       |SM      MR|m^4/s           |RE-MIN Biharm Visc Coefficient (m4/s) (Div Pt)
   144 |VAHZLTH | 65 |       |SZ      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Zeta Pt)
   145 |VA4ZLTH | 65 |       |SZ      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Zeta Pt)
   146 |VAHDLTH | 65 |       |SM      MR|m^2/s           |Leith Harm Visc Coefficient (m2/s) (Div Pt)
   147 |VA4DLTH | 65 |       |SM      MR|m^4/s           |Leith Biharm Visc Coefficient (m4/s) (Div Pt)
   148 |VAHZLTHD| 65 |       |SZ      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Zeta Pt)
   149 |VA4ZLTHD| 65 |       |SZ      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Zeta Pt)
   150 |VAHDLTHD| 65 |       |SM      MR|m^2/s           |LeithD Harm Visc Coefficient (m2/s) (Div Pt)
   151 |VA4DLTHD| 65 |       |SM      MR|m^4/s           |LeithD Biharm Visc Coefficient (m4/s) (Div Pt)
   152 |VAHZSMAG| 65 |       |SZ      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Zeta Pt)
   153 |VA4ZSMAG| 65 |       |SZ      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Zeta Pt)
   154 |VAHDSMAG| 65 |       |SM      MR|m^2/s           |Smagorinsky Harm Visc Coefficient (m2/s) (Div Pt)
   155 |VA4DSMAG| 65 |       |SM      MR|m^4/s           |Smagorinsky Biharm Visc Coeff. (m4/s) (Div Pt)
   156 |momKE   | 65 |       |SMR     MR|m^2/s^2         |Kinetic Energy (in momentum Eq.)
   157 |momHDiv | 65 |       |SMR     MR|s^-1            |Horizontal Divergence (in momentum Eq.)
   158 |momVort3| 65 |       |SZR     MR|s^-1            |3rd component (vertical) of Vorticity
   159 |Strain  | 65 |       |SZR     MR|s^-1            |Horizontal Strain of Horizontal Velocities
   160 |Tension | 65 |       |SMR     MR|s^-1            |Horizontal Tension of Horizontal Velocities
   161 |Stretch | 65 |       |SM      MR|s^-1            |Vortex stretching from QG Leith dynamic viscosity
   162 |USidDrag| 65 |   163 |UUR     MR|m/s^2           |U momentum tendency from Side Drag
   163 |VSidDrag| 65 |   162 |VVR     MR|m/s^2           |V momentum tendency from Side Drag
   164 |Um_Diss | 65 |   165 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Explicit part)
   165 |Vm_Diss | 65 |   164 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Explicit part)
   166 |Um_ImplD| 65 |   167 |UUR     MR|m/s^2           |U momentum tendency from Dissipation (Implicit part)
   167 |Vm_ImplD| 65 |   166 |VVR     MR|m/s^2           |V momentum tendency from Dissipation (Implicit part)
   168 |Um_Advec| 65 |   169 |UUR     MR|m/s^2           |U momentum tendency from Advection terms
   169 |Vm_Advec| 65 |   168 |VVR     MR|m/s^2           |V momentum tendency from Advection terms
   170 |Um_Cori | 65 |   171 |UUR     MR|m/s^2           |U momentum tendency from Coriolis term
   171 |Vm_Cori | 65 |   170 |VVR     MR|m/s^2           |V momentum tendency from Coriolis term
   172 |Um_dPhiX| 65 |   173 |UUR     MR|m/s^2           |U momentum tendency from Pressure/Potential grad
   173 |Vm_dPhiY| 65 |   172 |VVR     MR|m/s^2           |V momentum tendency from Pressure/Potential grad
   174 |Um_Ext  | 65 |   175 |UUR     MR|m/s^2           |U momentum tendency from external forcing
   175 |Vm_Ext  | 65 |   174 |VVR     MR|m/s^2           |V momentum tendency from external forcing
   176 |Um_AdvZ3| 65 |   177 |UUR     MR|m/s^2           |U momentum tendency from Vorticity Advection
   177 |Vm_AdvZ3| 65 |   176 |VVR     MR|m/s^2           |V momentum tendency from Vorticity Advection
   178 |Um_AdvRe| 65 |   179 |UUR     MR|m/s^2           |U momentum tendency from vertical Advection (Explicit part)
   179 |Vm_AdvRe| 65 |   178 |VVR     MR|m/s^2           |V momentum tendency from vertical Advection (Explicit part)
   180 |Wm_Diss | 65 |       |WMr     LR|m/s^2           |W momentum tendency from Dissipation
   181 |Wm_Advec| 65 |       |WMr     LR|m/s^2           |W momentum tendency from Advection terms
   182 |WSidDrag| 65 |       |WMr     LR|m/s^2           |Vertical momentum tendency from Side Drag
   183 |botTauX |  1 |   184 |UU      U1|N/m^2           |zonal bottom stress, >0 increases uVel
   184 |botTauY |  1 |   183 |VV      U1|N/m^2           |meridional bottom stress, >0 increases vVel
   185 |ADVx_Um | 65 |   186 |UM      MR|m^4/s^2         |Zonal      Advective Flux of U momentum
   186 |ADVy_Um | 65 |   185 |VZ      MR|m^4/s^2         |Meridional Advective Flux of U momentum
   187 |ADVrE_Um| 65 |       |WU      LR|m^4/s^2         |Vertical   Advective Flux of U momentum (Explicit part)
   188 |ADVx_Vm | 65 |   189 |UZ      MR|m^4/s^2         |Zonal      Advective Flux of V momentum
   189 |ADVy_Vm | 65 |   188 |VM      MR|m^4/s^2         |Meridional Advective Flux of V momentum
   190 |ADVrE_Vm| 65 |       |WV      LR|m^4/s^2         |Vertical   Advective Flux of V momentum (Explicit part)
   191 |VISCx_Um| 65 |   192 |UM      MR|m^4/s^2         |Zonal      Viscous Flux of U momentum
   192 |VISCy_Um| 65 |   191 |VZ      MR|m^4/s^2         |Meridional Viscous Flux of U momentum
   193 |VISrE_Um| 65 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Explicit part)
   194 |VISrI_Um| 65 |       |WU      LR|m^4/s^2         |Vertical   Viscous Flux of U momentum (Implicit part)
   195 |VISCx_Vm| 65 |   196 |UZ      MR|m^4/s^2         |Zonal      Viscous Flux of V momentum
   196 |VISCy_Vm| 65 |   195 |VM      MR|m^4/s^2         |Meridional Viscous Flux of V momentum
   197 |VISrE_Vm| 65 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Explicit part)
   198 |VISrI_Vm| 65 |       |WV      LR|m^4/s^2         |Vertical   Viscous Flux of V momentum (Implicit part)
   199 |EXFhs   |  1 |       |SM      U1|W/m^2           |Sensible heat flux into ocean, >0 increases theta
------------------------------------------------------------------------------------
  Num  |<-Name->|Levs|  mate |<- code ->|<--  Units   -->|<- Tile (max=80c)         
------------------------------------------------------------------------------------
   200 |EXFhl   |  1 |       |SM      U1|W/m^2           |Latent heat flux into ocean, >0 increases theta
   201 |EXFlwnet|  1 |       |SM      U1|W/m^2           |Net upward longwave radiation, >0 decreases theta
   202 |EXFswnet|  1 |       |SM      U1|W/m^2           |Net upward shortwave radiation, >0 decreases theta
   203 |EXFlwdn |  1 |       |SM      U1|W/m^2           |Downward longwave radiation, >0 increases theta
   204 |EXFswdn |  1 |       |SM      U1|W/m^2           |Downward shortwave radiation, >0 increases theta
   205 |EXFqnet |  1 |       |SM      U1|W/m^2           |Net upward heat flux (turb+rad), >0 decreases theta
   206 |EXFtaux |  1 |       |UM      U1|N/m^2           |zonal surface wind stress, >0 increases uVel
   207 |EXFtauy |  1 |       |VM      U1|N/m^2           |meridional surface wind stress, >0 increases vVel
   208 |EXFuwind|  1 |       |UM      U1|m/s             |zonal 10-m wind speed, >0 eastward
   209 |EXFvwind|  1 |       |VM      U1|m/s             |meridional 10-m wind speed, >0 northward
   210 |EXFwspee|  1 |       |SM      U1|m/s             |10-m wind speed modulus ( >= 0 )
   211 |EXFatemp|  1 |       |SM      U1|degK            |surface (2-m) air temperature
   212 |EXFaqh  |  1 |       |SM      U1|kg/kg           |surface (2-m) specific humidity
   213 |EXFevap |  1 |       |SM      U1|m/s             |evaporation, > 0 increases salinity
   214 |EXFpreci|  1 |       |SM      U1|m/s             |precipitation, > 0 decreases salinity
   215 |EXFsnow |  1 |       |SM      U1|m/s             |snow precipitation, > 0 decreases salinity
   216 |EXFempmr|  1 |       |SM      U1|m/s             |net upward freshwater flux, > 0 increases salinity
   217 |EXFpress|  1 |       |SM      U1|N/m^2           |atmospheric pressure field
   218 |EXFroff |  1 |       |SM      U1|m/s             |river runoff, > 0 decreases salinity
   219 |EXFroft |  1 |       |SM      U1|deg C           |river runoff temperature
   220 |EXFsalfx|  1 |       |SM      U1|g/m^2/s         |upward salt flux, > 0 decreases salinity
   221 |KPPviscA| 65 |       |SM P    LR|m^2/s           |KPP vertical eddy viscosity coefficient
   222 |KPPdiffS| 65 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for salt & tracers
   223 |KPPdiffT| 65 |       |SM P    LR|m^2/s           |Vertical diffusion coefficient for heat
   224 |KPPghatK| 65 |       |SM P    LR|0-1             |ratio of KPP non-local (salt) flux relative to surface-flux
   225 |KPPhbl  |  1 |       |SM P     1|m               |KPP boundary layer depth, bulk Ri criterion
   226 |KPPfrac |  1 |       |SM P     1|                |Short-wave flux fraction penetrating mixing layer
   227 |KPPdbsfc| 65 |       |SM P    UR|m/s^2           |Buoyancy difference with respect to surface
   228 |KPPbfsfc| 65 |       |SM P    UR|m^2/s^3         |Bo+radiation absorbed to d=hbf*hbl + plume
   229 |KPPRi   | 65 |       |SM P    UR|non-dimensional |Bulk Richardson number
   230 |KPPbo   |  1 |       |SM P     1|m^2/s^3         |Surface turbulent buoyancy forcing
   231 |KPPbosol|  1 |       |SM P     1|m^2/s^3         |surface radiative buoyancy forcing
   232 |KPPdbloc| 65 |       |SM P    UR|m/s^2           |Local delta buoyancy across interfaces
   233 |KPPnuddt| 65 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for heat
   234 |KPPnudds| 65 |       |SM P    UR|m^2/s           |Vertical double diffusion coefficient for salt
   235 |KPPg_TH | 65 |       |WM      LR|degC.m^3/s      |KPP non-local Flux of Pot.Temperature
   236 |KPPg_SLT| 65 |       |WM      LR|g/kg.m^3/s      |KPP non-local Flux of Salinity
   237 |DSLPuFlw|  1 |   238 |UU      M1|m^3/s           |Zonal  Down-Sloping Transport (u-component)
   238 |DSLPvFlw|  1 |   237 |VV      M1|m^3/s           |Merid. Down-Sloping Transport (v-component)
   239 |DSLP_TH | 65 |       |SMR     MR|K/s             |Pot.Temp. tendency from Down-Slope package
   240 |DSLP_SLT| 65 |       |SMR     MR|g/kg/s          |Salinity  tendency from Down-Slope package
   241 |TRAC01  | 65 |       |SMR     MR|uM C            |DIC concentration
   242 |UTRAC01 | 65 |   243 |UUr     MR|uMC.m/s         |Zonal Mass-Weighted Transp of DIC
   243 |VTRAC01 | 65 |   242 |VVr     MR|uMC.m/s         |Merid Mass-Weighted Transp of DIC
   244 |WTRAC01 | 65 |       |WM      MR|uMC.m/s         |Vert  Mass-Weighted Transp of DIC
   245 |ForcTr01| 65 |       |SMR     MR|uMC/s           |DIC forcing tendency
   246 |AB_gTr01| 65 |       |SMR     MR|uMC/s           |DIC tendency from Adams-Bashforth
   247 |Tp_gTr01| 65 |       |SMR     MR|uMC/s           |DIC total transport tendency (before gchem_forcing_sep)
   248 |ADVrTr01| 65 |       |WM      LR|uMC.m^3/s       |Vertical   Advective Flux of DIC
   249 |ADVxTr01| 65 |   250 |UU      MR|uMC.m^3/s       |Zonal      Advective Flux of DIC
   250 |ADVyTr01| 65 |   249 |VV      MR|uMC.m^3/s       |Meridional Advective Flux of DIC
   251 |DFrETr01| 65 |       |WM      LR|uMC.m^3/s       |Vertical Diffusive Flux of DIC (Explicit part)
   252 |DFxETr01| 65 |   253 |UU      MR|uMC.m^3/s       |Zonal      Diffusive Flux of DIC
   253 |DFyETr01| 65 |   252 |VV      MR|uMC.m^3/s       |Meridional Diffusive Flux of DIC
   254 |DFrITr01| 65 |       |WM      LR|uMC.m^3/s       |Vertical Diffusive Flux of DIC (Implicit part)
   255 |KPPgTr01| 65 |       |WM      LR|uMC.m^3/s       |KPP non-local Flux of DIC
   256 |DSLPTr01| 65 |       |SMR     MR|uMC/s           |DIC tendency from Down-Slope package
   257 |TRAC02  | 65 |       |SMR     MR|uM N            |NO3 concentration
   258 |UTRAC02 | 65 |   259 |UUr     MR|uMN.m/s         |Zonal Mass-Weighted Transp of NO3
   259 |VTRAC02 | 65 |   258 |VVr     MR|uMN.m/s         |Merid Mass-Weighted Transp of NO3
   260 |WTRAC02 | 65 |       |WM      MR|uMN.m/s         |Vert  Mass-Weighted Transp of NO3
   261 |ForcTr02| 65 |       |SMR     MR|uMN/s           |NO3 forcing tendency
   262 |AB_gTr02| 65 |       |SMR     MR|uMN/s           |NO3 tendency from Adams-Bashforth
